Country of Residence,Year,No of Arrivals per Occupation,Occupation,,,,,
Others in Oceania,"2,015",157,Retired,,,,,
Others in Oceania,"2,015", - ,Others,,,,,
Others in Oceania,"2,015", - ,Not stated,,,,,
    Egypt,"2,015","22,851",Total,,,,,
    Egypt,"2,015","11,076",Professional,,,,,
    Egypt,"2,015","6,800",Administrative and managerial,,,,,
    Egypt,"2,015","1,605",Commercial personal and clerical,,,,,
    Egypt,"2,015",799,Labourers production and service workers,,,,,
    Egypt,"2,015",134,Agricultural workers,,,,,
    Egypt,"2,015",26,Government,,,,,
    Egypt,"2,015",382,House wife,,,,,
    Egypt,"2,015","1,946",Students,,,,,
    Egypt,"2,015",83,Retired,,,,,
    Egypt,"2,015", - ,Others,,,,,
    Egypt,"2,015", - ,Not stated,,,,,
    Israel,"2,015","138,499",Total,,,,,
    Israel,"2,015","55,204",Professional,,,,,
    Israel,"2,015","24,871",Administrative and managerial,,,,,
    Israel,"2,015","16,852",Commercial personal and clerical,,,,,
    Israel,"2,015","10,589",Labourers production and service workers,,,,,
    Israel,"2,015","1,893",Agricultural workers,,,,,
    Israel,"2,015",290,Government,,,,,
    Israel,"2,015","1,797",House wife,,,,,
    Israel,"2,015","23,572",Students,,,,,
    Israel,"2,015","3,431",Retired,,,,,
    Israel,"2,015", - ,Others,,,,,
    Israel,"2,015", - ,Not stated,,,,,
    Kuwait,"2,015","72,830",Total,,,,,
    Kuwait,"2,015","16,771",Professional,,,,,
    Kuwait,"2,015","8,112",Administrative and managerial,,,,,
    Kuwait,"2,015","4,377",Commercial personal and clerical,,,,,
    Kuwait,"2,015","24,343",Labourers production and service workers,,,,,
    Kuwait,"2,015",303,Agricultural workers,,,,,
    Kuwait,"2,015",194,Government,,,,,
    Kuwait,"2,015","2,409",House wife,,,,,
    Kuwait,"2,015","13,744",Students,,,,,
    Kuwait,"2,015","2,577",Retired,,,,,
    Kuwait,"2,015", - ,Others,,,,,
    Kuwait,"2,015", - ,Not stated,,,,,
    Saudi Arabia,"2,015","25,153",Total,,,,,
    Saudi Arabia,"2,015","9,702",Professional,,,,,
    Saudi Arabia,"2,015","6,492",Administrative and managerial,,,,,
    Saudi Arabia,"2,015","3,653",Commercial personal and clerical,,,,,
    Saudi Arabia,"2,015","1,744",Labourers production and service workers,,,,,
    Saudi Arabia,"2,015",156,Agricultural workers,,,,,
    Saudi Arabia,"2,015",422,Government,,,,,
    Saudi Arabia,"2,015",525,House wife,,,,,
    Saudi Arabia,"2,015","2,433",Students,,,,,
    Saudi Arabia,"2,015",26,Retired,,,,,
    Saudi Arabia,"2,015", - ,Others,,,,,
    Saudi Arabia,"2,015", - ,Not stated,,,,,
    United Arab Emirates,"2,015","171,516",Total,,,,,
    United Arab Emirates,"2,015","46,598",Professional,,,,,
    United Arab Emirates,"2,015","48,056",Administrative and managerial,,,,,
    United Arab Emirates,"2,015","15,947",Commercial personal and clerical,,,,,
    United Arab Emirates,"2,015","30,247",Labourers production and service workers,,,,,
    United Arab Emirates,"2,015",221,Agricultural workers,,,,,
    United Arab Emirates,"2,015",550,Government,,,,,
    United Arab Emirates,"2,015","9,771",House wife,,,,,
    United Arab Emirates,"2,015","19,062",Students,,,,,
    United Arab Emirates,"2,015","1,064",Retired,,,,,
    United Arab Emirates,"2,015", - ,Others,,,,,
    United Arab Emirates,"2,015", - ,Not stated,,,,,
    Others in Middle East,"2,015","289,942",Total,,,,,
    Others in Middle East,"2,015","91,744",Professional,,,,,
    Others in Middle East,"2,015","60,287",Administrative and managerial,,,,,
    Others in Middle East,"2,015","50,481",Commercial personal and clerical,,,,,
    Others in Middle East,"2,015","38,545",Labourers production and service workers,,,,,
    Others in Middle East,"2,015","1,270",Agricultural workers,,,,,
    Others in Middle East,"2,015","2,627",Government,,,,,
    Others in Middle East,"2,015","14,402",House wife,,,,,
    Others in Middle East,"2,015","27,440",Students,,,,,
    Others in Middle East,"2,015","3,041",Retired,,,,,
    Others in Middle East,"2,015",105,Others,,,,,
    Others in Middle East,"2,015", - ,Not stated,,,,,
 South Africa,"2,015","74,397",Total,,,,,
 South Africa,"2,015","29,666",Professional,,,,,
 South Africa,"2,015","22,467",Administrative and managerial,,,,,
 South Africa,"2,015","8,388",Commercial personal and clerical,,,,,
 South Africa,"2,015","4,445",Labourers production and service workers,,,,,
 South Africa,"2,015",867,Agricultural workers,,,,,
 South Africa,"2,015",106,Government,,,,,
 South Africa,"2,015","1,714",House wife,,,,,
 South Africa,"2,015","5,782",Students,,,,,
 South Africa,"2,015",962,Retired,,,,,
 South Africa,"2,015", - ,Others,,,,,
 South Africa,"2,015", - ,Not stated,,,,,
    Others in Africa,"2,015","90,277",Total,,,,,
    Others in Africa,"2,015","26,615",Professional,,,,,
    Others in Africa,"2,015","19,100",Administrative and managerial,,,,,
    Others in Africa,"2,015","22,196",Commercial personal and clerical,,,,,
    Others in Africa,"2,015","7,145",Labourers production and service workers,,,,,
    Others in Africa,"2,015",222,Agricultural workers,,,,,
    Others in Africa,"2,015","1,399",Government,,,,,
    Others in Africa,"2,015","3,385",House wife,,,,,
    Others in Africa,"2,015","9,058",Students,,,,,
    Others in Africa,"2,015","1,157",Retired,,,,,
    Others in Africa,"2,015", - ,Others,,,,,
    Others in Africa,"2,015", - ,Not stated,,,,,
        Brunai,"2,016","17,994",Total,,,,,
        Brunai,"2,016","4,108",Professional,,,,,
        Brunai,"2,016","2,369",Administrative and managerial,,,,,
        Brunai,"2,016","2,643",Commercial personal and clerical,,,,,
        Brunai,"2,016","2,247",Labourers production and service workers,,,,,
        Brunai,"2,016",24,Agricultural workers,,,,,
        Brunai,"2,016",797,Government,,,,,
        Brunai,"2,016","1,108",House wife,,,,,
        Brunai,"2,016","3,994",Students,,,,,
        Brunai,"2,016",665,Retired,,,,,
        Brunai,"2,016",30,Others,,,,,
        Brunai,"2,016",9,Not stated,,,,,
        Cambodia,"2,016","684,836",Total,,,,,
        Cambodia,"2,016","44,399",Professional,,,,,
        Cambodia,"2,016","35,179",Administrative and managerial,,,,,
        Cambodia,"2,016","48,644",Commercial personal and clerical,,,,,
        Cambodia,"2,016","170,460",Labourers production and service workers,,,,,
        Cambodia,"2,016","164,562",Agricultural workers,,,,,
        Cambodia,"2,016","4,925",Government,,,,,
        Cambodia,"2,016","155,161",House wife,,,,,
        Cambodia,"2,016","55,995",Students,,,,,
        Cambodia,"2,016","5,042",Retired,,,,,
        Cambodia,"2,016",211,Others,,,,,
        Cambodia,"2,016",258,Not stated,,,,,
        Indonesia,"2,016","558,499",Total,,,,,
        Indonesia,"2,016","93,103",Professional,,,,,
        Indonesia,"2,016","59,225",Administrative and managerial,,,,,
        Indonesia,"2,016","52,184",Commercial personal and clerical,,,,,
        Indonesia,"2,016","153,566",Labourers production and service workers,,,,,
        Indonesia,"2,016",418,Agricultural workers,,,,,
        Indonesia,"2,016","7,637",Government,,,,,
        Indonesia,"2,016","72,007",House wife,,,,,
        Indonesia,"2,016","112,497",Students,,,,,
        Indonesia,"2,016","5,475",Retired,,,,,
        Indonesia,"2,016","2,185",Others,,,,,
        Indonesia,"2,016",202,Not stated,,,,,
        Laos,"2,016","1,414,916",Total,,,,,
        Laos,"2,016","285,143",Professional,,,,,
        Laos,"2,016","152,465",Administrative and managerial,,,,,
        Laos,"2,016","54,451",Commercial personal and clerical,,,,,
        Laos,"2,016","292,387",Labourers production and service workers,,,,,
        Laos,"2,016","236,376",Agricultural workers,,,,,
        Laos,"2,016",694,Government,,,,,
        Laos,"2,016","223,173",House wife,,,,,
        Laos,"2,016","134,189",Students,,,,,
        Laos,"2,016","35,871",Retired,,,,,
        Laos,"2,016",101,Others,,,,,
        Laos,"2,016",66,Not stated,,,,,
        Malaysia,"2,016","3,506,199",Total,,,,,
        Malaysia,"2,016","801,661",Professional,,,,,
        Malaysia,"2,016","760,776",Administrative and managerial,,,,,
        Malaysia,"2,016","331,745",Commercial personal and clerical,,,,,
        Malaysia,"2,016","443,795",Labourers production and service workers,,,,,
        Malaysia,"2,016","1,011",Agricultural workers,,,,,
        Malaysia,"2,016","3,774",Government,,,,,
        Malaysia,"2,016","579,716",House wife,,,,,
        Malaysia,"2,016","555,710",Students,,,,,
        Malaysia,"2,016","25,908",Retired,,,,,
        Malaysia,"2,016","1,923",Others,,,,,
        Malaysia,"2,016",180,Not stated,,,,,
        Myanmar,"2,016","363,871",Total,,,,,
        Myanmar,"2,016","66,201",Professional,,,,,
        Myanmar,"2,016","26,766",Administrative and managerial,,,,,
        Myanmar,"2,016","95,023",Commercial personal and clerical,,,,,
        Myanmar,"2,016","64,827",Labourers production and service workers,,,,,
        Myanmar,"2,016","3,837",Agricultural workers,,,,,
        Myanmar,"2,016","1,334",Government,,,,,
        Myanmar,"2,016","9,983",House wife,,,,,
        Myanmar,"2,016","83,845",Students,,,,,
        Myanmar,"2,016","9,544",Retired,,,,,
        Myanmar,"2,016","2,059",Others,,,,,
        Myanmar,"2,016",452,Not stated,,,,,
        Philippines,"2,016","323,860",Total,,,,,
        Philippines,"2,016","96,372",Professional,,,,,
        Philippines,"2,016","54,239",Administrative and managerial,,,,,
        Philippines,"2,016","46,483",Commercial personal and clerical,,,,,
        Philippines,"2,016","60,946",Labourers production and service workers,,,,,
        Philippines,"2,016","1,300",Agricultural workers,,,,,
        Philippines,"2,016","1,942",Government,,,,,
        Philippines,"2,016","17,321",House wife,,,,,
        Philippines,"2,016","34,365",Students,,,,,
        Philippines,"2,016","9,850",Retired,,,,,
        Philippines,"2,016",605,Others,,,,,
        Philippines,"2,016",437,Not stated,,,,,
        Singapore,"2,016","1,163,309",Total,,,,,
        Singapore,"2,016","380,502",Professional,,,,,
        Singapore,"2,016","248,557",Administrative and managerial,,,,,
        Singapore,"2,016","144,057",Commercial personal and clerical,,,,,
        Singapore,"2,016","117,702",Labourers production and service workers,,,,,
        Singapore,"2,016",210,Agricultural workers,,,,,
        Singapore,"2,016","15,283",Government,,,,,
        Singapore,"2,016","63,453",House wife,,,,,
        Singapore,"2,016","165,318",Students,,,,,
        Singapore,"2,016","25,329",Retired,,,,,
        Singapore,"2,016","2,454",Others,,,,,
        Singapore,"2,016",444,Not stated,,,,,
        Vietnam,"2,016","863,807",Total,,,,,
        Vietnam,"2,016","140,222",Professional,,,,,
        Vietnam,"2,016","65,839",Administrative and managerial,,,,,
        Vietnam,"2,016","146,105",Commercial personal and clerical,,,,,
        Vietnam,"2,016","245,890",Labourers production and service workers,,,,,
        Vietnam,"2,016","49,022",Agricultural workers,,,,,
        Vietnam,"2,016","1,095",Government,,,,,
        Vietnam,"2,016","67,466",House wife,,,,,
        Vietnam,"2,016","135,067",Students,,,,,
        Vietnam,"2,016","11,290",Retired,,,,,
        Vietnam,"2,016","1,494",Others,,,,,
        Vietnam,"2,016",317,Not stated,,,,,
    China,"2,016","8,821,148",Total,,,,,
    China,"2,016","1,866,953",Professional,,,,,
    China,"2,016","1,457,139",Administrative and managerial,,,,,
    China,"2,016","678,031",Commercial personal and clerical,,,,,
    China,"2,016","3,563,424",Labourers production and service workers,,,,,
    China,"2,016","7,556",Agricultural workers,,,,,
    China,"2,016","16,490",Government,,,,,
    China,"2,016","58,802",House wife,,,,,
    China,"2,016","982,307",Students,,,,,
    China,"2,016","163,626",Retired,,,,,
    China,"2,016","25,793",Others,,,,,
    China,"2,016","1,027",Not stated,,,,,
    Hong Kong,"2,016","690,465",Total,,,,,
    Hong Kong,"2,016","173,747",Professional,,,,,
    Hong Kong,"2,016","119,820",Administrative and managerial,,,,,
    Hong Kong,"2,016","152,274",Commercial personal and clerical,,,,,
    Hong Kong,"2,016","83,774",Labourers production and service workers,,,,,
    Hong Kong,"2,016",228,Agricultural workers,,,,,
    Hong Kong,"2,016","4,816",Government,,,,,
    Hong Kong,"2,016","39,756",House wife,,,,,
    Hong Kong,"2,016","94,088",Students,,,,,
    Hong Kong,"2,016","20,382",Retired,,,,,
    Hong Kong,"2,016","1,323",Others,,,,,
    Hong Kong,"2,016",257,Not stated,,,,,
    Japan,"2,016","1,416,903",Total,,,,,
    Japan,"2,016","206,446",Professional,,,,,
    Japan,"2,016","117,849",Administrative and managerial,,,,,
    Japan,"2,016","221,692",Commercial personal and clerical,,,,,
